QuestionnaireID,BatchID,QuestionID,Type,Question,OptionCount,Option1,Option1Points,Option2,Option2Points,Option3,Option3Points,Option4,Option4Points,Option5,Option5Points,Comments,Points,SelectedValue
0,1,1,Objective,Please select the key business objectives you want to achieve by Offshoring to AMOS India,4,Manage surge volumes,2,Benefit from difference in time zones,3,Benefit of scale or specilisation,4,Availability of niche skills,5,,,,,
0,1,2,Objective,Would there be an impact on Customer experience due to Time Zone differences,5,Negative Customer Impact,1,No positive or negative Customer Impact,2,Yes - Low Positive Customer Impact,3,Yes - Medium Positive Customer Impact,4,Yes - High Positive Customer Impact,5,,,
0,1,3,Objective,Are there any specific requirements on the Offshore service window (Working hours),5,Any Other - Add Comments Please,1,US Time Zone,2,Australian Time Zone,3,UK Time Zone,4,None,5,,,
0,2,1,Objective,How many people currently work on the process at your location,5,More than 50 FTE,1,31 to 50 FTE,2,21 to 30 FTE,3,11 to 20 FTE,4,Less Than 10 FTE,5,,,
0,2,2,Objective,What would be an estimate number of people you anticipate to be working from India,5,More than 50 FTE,1,31 to 50 FTE,2,21 to 30 FTE,3,11 to 20 FTE,4,Less Than 10 FTE,5,,,
0,2,3,Objective,What are the current Turn Around Time for the process,5,4-8 hours,1,8-12 hours,2,1-2 Days,3,3-5 days,4,More than 5 days,5,,,
0,3,1,Objective,What training is required to undertake this process,5,Pilot team required to travel and stay onshore for over 2 months for Knowledge transfer,1,Pilot team required to travel and stay onshore for a month to learn side by side over and above training manuals,2,Trainings to be faciltated by an SME from the OE location only,3,"Products and systems training via manuals, VC, telecons",4,"Products and systems training via manuals, all rules defined, training facilitated by a local trainer",5,,,
0,3,2,Objective,How long would it take for a staff member to be be fully operational - Including Formal training and On the job training,5,More than 3 months,1,3 Months,2,2 Months,3,1 Month,4,2 - 3 Weeks,5,,,
0,3,3,Objective,Which of the following describes the skill required to do the job - Voice or Verbal Skills ,5,Very High Voice Skills  - Sales and Negotiations,1,High Voice Skills  - Service and External customer contacts,2,Moderate Voice Skills ,3,Low Voice Skills,4,No Voice,5,,,
0,3,4,Objective,Which of the following describes the skill required to do the job - Data and Comprehension Skills,5,Niche Skills - Please specify,1,High logical and data interpretation,2,Moderate logical and reasoning skills,3,Basic data interpretation,4,No data interpretation ,5,,,
0,3,5,Objective,What is the primary language for Operation,5,Any Other - Add Comments Please,1,Spanish,2,French,3,German,4,English,5,,,
